date,startup,vertical,SubVertical,City  Location,investors,round,amount
2017-12-04,Tinmen,Consumer Internet,Food Delivery Platform,Hyderabad,"MAPE Advisory Group, R Ramaraj, Corvus Ventures",Seed Funding,0.0
2017-12-04,ScoutMyTrip,Consumer Internet,Online Travel planner,Mumbai,Z Nation Lab,Seed Funding,0.0
2017-04-13,SafetyKart,eCommerce,Safety & Hygiene Products etailer,Gurgaon,Redcliffe Capital,Private Equity,0.0
2017-04-17,Navia Life Care,Technology,Health Technology platform,New Delhi,Benori Ventures LLP,Seed Funding,0.0
2017-04-17,Raw Pressery,Food & Beverages,Raw Pressed Juices manufacturer,Mumbai,Jacqueline Fernandez,Seed Funding,0.0
2017-04-17,Simulanis,Consumer Internet,eLearning & Skills Development plat,New Delhi,Village Capital,Seed Funding,0.0
2017-04-20,Wooplr,eCommerce,Social Commerce\\xc2\\xa0 Fashion platform,Bangalore,Ankit Nagori,Private Equity,0.0
2017-04-24,Niramai,Healthcare,Breast Cancer Screening Solutions,Bangalore,"pi Ventures, Axilor Ventures, 500 Startups, Binny Bansal",Seed Funding,0.0
2017-04-26,Myra,Consumer Internet,Online Pharmacy,Bangalore,"Times Internet,Matrix Partners",Private Equity,0.0
2017-04-26,ZipGo,Consumer Internet,Bus Pooling services platform,Bangalore,"Orios Ventures Partners, Team Builder Ventures, Omidyar Networks",Private Equity,0.0
2017-04-27,Autobix,Technology,Software Solutions for Auto Dealership,Pune,GardX International,Seed Funding,0.0
2017-04-27,eShiksha,Technology,Education Institution Management Solutions,Jaipur,Cross Border Angels & Experts,Seed Funding,0.0
2017-04-28,Mintwalk,Consumer Internet,Financial advisory mobile app,Mumbai,Poshika Financial Ecosystem,Seed Funding,0.0
2017-04-29,Qriyo,Consumer Internet,Tutor Discovery & Booking platform,Jaipur,NB Ventures,Private Equity,0.0
2017-01-03,Seenit,Consumer Internet,AI based Fashion Search Portal,Kolkata,"Calcutta Angels Network (CAN), Augment Ventures",Seed Funding,0.0
2017-01-03,Paalak,ECommerce,Fresh Produce Selling portal,New Delhi,"Vishwadeep Bajaj, Harsh Kundra, Nandkumar Rane, LN Buddharaju, Anupam Tyagi",Seed Funding,0.0
2017-02-03,Kreate Konnect,Technology,End-to-End Seller e-commerce solutions Provider,Vadodara,Langoor,Seed Funding,0.0
2017-03-03,Lets Endorse,Consumer Internet,Online Ecosystem of social innovators,Bangalore,"Chandigarh Angels Network, Social Alpha and other unnamed angel investors",Seed Funding,0.0
2017-03-03,Nactus,Consumer Internet,Professional Tutors discovery & booking mobile app,Jaipur,"Sandeep Aggarwal, Gautam Chhaochharia, R Balachandar",Seed Funding,0.0
2017-03-03,Emojifi,Consumer Internet,Mobile App for live emoji,Hyderabad,Undisclosed angel investors,Seed Funding,0.0
2017-08-03,Parentune,Consumer Internet,Online Community for Parents,Gurgaon,"Kae Capital, SEGNEL Ventures",Private Equity,0.0
2017-10-03,iOrderFresh,ECommerce,Online fresh fruits and grocery store,New Delhi,Singapore Angel Network,Seed Funding,0.0
2017-10-03,PropertyShare,Consumer Internet,Fractional Proerty Ownership & Rental platform,Bangalore,"Asuka, Pravega Ventures, BEENEXT",Seed Funding,0.0
2017-03-14,MyDermacy,Consumer Internet,Online Dermatology consultation platform,New Delhi,Cyber Carrier,Private Equity,0.0
2017-03-16,ShilpMIS,Technology,Virtual Reality platform,Surat,"Puneet Gupta, Nimitt Desai & Others",Seed Funding,0.0
2017-03-17,FarMart,Technology,Farming rental equipment provider,Gurgaon,Indian Angel Network,Seed Funding,0.0
2017-03-22,The Mons Co.,eCommerce,Pregnancy & Baby Care etailer,New Delhi,"Shripad Nadkarni, Nandu Nandkishore",Seed Funding,0.0
2017-03-24,BabyonBoard,Consumer Internet,Parenting Mobile App,Bangalore,"Mahavir Sharma, Vishal Jain, Rohit Sethi, Gaurav Luniya",Seed Funding,0.0
2017-03-27,Sport Flashes,Consumer Internet,Sports Based Online Media portal,New Delhi,"Vikas Bajaj, Amit Kharbanda,",Seed Funding,0.0
2017-03-28,Wigzo,Technology,Enterprise Automation suite,New Delhi,3one4 capital,Private Equity,0.0
2017-03-29,Zapyle,ECommerce,Luxury Fashion Marketplace,Bangalore,Undisclosed Investors,Seed Funding,0.0
2017-03-29,Byju\\xe2\\x80\\x99s,Consumer Internet,Online Education Platform,Bangalore,Verlinvest,Private Equity,0.0
2017-03-30,Indus OS,Technology,Mobile OS creator,Mumbai,"JSW Ventures, VenturEast",Private Equity,0.0
2017-03-30,Emflux Motors,Technology,Electric Motorcycle manufacturer,Bangalore,"Meher Roy, Nikhil Arora, Meet Kanodia, Krit Sankalp, Nitish Singh, Risabh Gupta",Seed Funding,0.0
2017-03-30,Klinic App,Consumer Internet,Pathology & Diagnostic Tests Portal,Gurgaon,Om Chaudhry,Seed Funding,0.0
2017-03-31,Rooter,Consumer Internet,Sports engagement platform,New Delhi,Intex Technologies,Private Equity,0.0
2017-03-31,FalconBrick,Technology,Real-Estate Workflow mobile app,Bangalore,"Satveer Thakral, LetsVenture, Mumbai Angels",Seed Funding,0.0
2017-02-02,Clodura,Technology,Intelligent Sales Assistant,Pune,Undisclosed Investors,Seed Funding,0.0
2017-03-02,Stockroom.io,Consumer Internet,Curated Platform for Developers,Hyderabad,"Satya D Sinha, Gyanendra Singh",Seed Funding,0.0
2017-06-02,iManageMyHotel,Technology,Hotel Management Solution,Kolkata,Jaarvis Accelerator,Seed Funding,0.0
2017-08-02,MindYourFleet,Technology,Car Rental Software Solutions,Noida,"Japan Vyas, Tarun Adlakha",Seed Funding,0.0
2017-09-02,1Crowd,Finance,Startup Crowd-funding platform,Mumbai,Ganesh Natarajan,Seed Funding,0.0
2017-10-02,Redesyn,Consumer Internet,Tech Enabler for Artists,Mumbai,ThinQbate,Seed Funding,0.0
2017-02-14,Connaizen,Technology,Data Analytics platform,New Delhi,Vikram Sud,Seed Funding,0.0
2017-02-15,Innov8,Consumer Internet,Co-Working Space Platform,New Delhi,"Vijay Shekhar Sharma, Rajan Anandan, Kunal Shah, Girish Mathrubootham, Punit Soni, Anand Chandrasekaran, Sunil Kalra, Utsav Somani, Vishal Gondal, Vikram Limaye",Seed Funding,0.0
2017-02-17,Aisle,Consumer Internet,Online match-making app,Bangalore,"Konglo Ventures, White Unicorn Ventures, LetsVenture",Seed Funding,0.0
2017-02-17,TownScript,Consumer Internet,DIY event registration and ticketing portal,Pune,BookMyShow,Private Equity,0.0
2017-02-23,Lets Reap,Consumer Internet,B2B Mobile App for Pharmacies,Mumbai,"Kunal Shah, Sandeep Tandon, Nitin Saluja, Gagan Goyal",Seed Funding,0.0
2017-02-24,Oglas,Consumer Internet,Mobile Advertising App,Noida,"Pankaj Rungta, Yogesh Agarwal",Seed Funding,0.0
2017-02-27,Staydobe,Consumer Internet,Co-Living Spaces Aggregator,Bangalore,Ishan Manaktala,Seed Funding,0.0
2017-03-01,GoFynd,ecommerce,Fashion ecommerce portal,Mumbai,"Anand Chandrasekaran, Rajiv Mehta, Ramakant Sharma",Seed Funding,0.0
2017-03-01,Vow Car Clinic,Consumer Internet,Online/App Based Car cleaning service provider,Gurgaon,Vishal Malik,Seed Funding,0.0
2017-04-01,LearnTron,Technology,Blended Learning Delivery App for Schools & Corporates,Chennai,Kae Capital,Seed Funding,0.0
2017-05-01,MobiDent,Consumer Internet,Dentist Appointments booking platform,Bangalore,DanGold Investment Corp,Private Equity,0.0
2017-05-01,Yostra,Technology,Healthcare Technology Solutions,Bangalore,"Marico Innovation Foundation (MIF), Villgro",Private Equity,0.0
2017-10-01,DriveSkool,Consumer Internet,online marketplace for driving schools,Bangalore,Aavya Ventures,Seed Funding,0.0
2017-11-01,InstaOffice,Consumer Internet,CoWorking Spaces booking platform,Gurgaon,"Zishaan Hayath, Karan Chellani, Mohit Satyan",Seed Funding,0.0
2017-01-13,PaisaWapas,Consumer Internet,Cashback & Coupons platform,Bangalore,Vividhity Ventures,Seed Funding,0.0
2017-01-14,SecururAX,Technology,Cloud-based solutions provider,Bangalore,"Axilor Ventures, Parampara Early Stage Opportunities Fund & Others",Private Equity,0.0
2017-01-16,Leadburg,Consumer Internet,Personality Development Mobile App,Bangalore,"Harsh V. Pant, Ratheesh Raveendran",Seed Funding,0.0
2017-01-16,Oi Media,Technology,SAAS Based Media Marketing platform,New Delhi,Quarizon,Seed Funding,0.0
2017-01-18,Kratikal,Technology,Cyber Security Solution provider,New Delhi,"Amajit Gupta, Praveen Dubey, J.P. Bhatt",Seed Funding,0.0
2017-01-18,Direct Create,eCommerce,B2B Marketplace for Handicrafts,Gurgaon,Rajasthan Venture Capital Fund,Seed Funding,0.0
2017-01-19,PParke,Consumer Internet,Parking Solutions mobile app,Bangalore,SB Ventures,Seed Funding,0.0
2017-01-19,Native Special,eCommerce,Indian Sweets & Snacks etailer,Karur,"Indian Angel Network, Native Angels Network",Seed Funding,0.0
2017-01-19,Fitnapp,Consumer Internet,Fitness Mobile App,Noida,SD Group,Private Equity,0.0
2017-01-20,Ethosh,Technology,Visual and Interactive communications Solutions,Pune,Deepak Nathani,Seed Funding,0.0
2017-01-20,Wydr,eCommerce,B2B Wholesale Marketplace in India,Gurgaon,"Bessemer Venture Partners, Stellaris Venture Partners, Jungle Venture Partners, Axis Capital",Private Equity,0.0
2017-01-20,Tyre Express,Technology,IoT platform for Tyre Performance management & tracking,Mumbai,IvyCamp Ventures,Seed Funding,0.0
2017-01-20,Connaizen,Technology,Data Analytics platform,New Delhi,Umang Moondra,Seed Funding,0.0
2017-01-23,SmartHi,Technology,Audit automation Solutions,Pune,Singapore based investor,Seed Funding,0.0
2017-01-23,CRON Systems,Technology,Border Intrusion Alert Solutions,New Delhi,YourNest Fund II,Seed Funding,0.0
2017-01-23,ChipperSage,Technology,Online learning platform,Bangalore,India Educational Investment Fund,Seed Funding,0.0
2017-01-24,SelectJobs,Consumer Internet,Online Job portal,Mumbai,India Educational Investment Fund,Seed Funding,0.0
2017-01-24,BetaOut,Technology,ECommerce Marketing Software,Noida,East Ventures & Others,Private Equity,0.0
2017-01-25,Wishberry,Consumer Internet,Crowdfunding Platform,Mumbai,"Sharad Sharma, Rajan Anandan,\\xc2\\xa0 Amit Ranjan, Alok Mittal & others",Seed Funding,0.0
2017-01-25,LoyaltyPrime,Technology,Loyalty program management solutions,New Delhi,"Senovo, Unternehmertum Venture Capital, Alexander Bruehl",Private Equity,0.0
2017-02-01,99Games,Technology,Mobile Game Developer Studio,Udupi,Dream Incubator,Seed Funding,0.0
2017-01-26,Kochi Post,Consumer Internet,English Online News portal,Kochi,"Rajesh Yohannan, Puthen & Cole",Seed Funding,0.0
2017-01-30,YOLO Health,Consumer Internet,Online Healthcare platform,Mumbai,Chandigarh Angels Network (CAN),Seed Funding,0.0
2017-01-31,Register My Marriage,Consumer Internet,Online Marriage Registration services,New Delhi,Mumbai Angels,Seed Funding,0.0
2016-02-12,Streo,Consumer Internet,Live Music Streaming App,Bangalore,"GEMs Advisory, Quarizon",Seed Funding,0.0
2016-05-12,Mr Hot Foods,Consumer Internet,Online Food Ordering & Delivery Portal,Indore,IvyCamp Ventures,Seed Funding,0.0
2016-05-12,ONN Bikes,eCommerce,"On-demand, self-drive bike rental platform",Mumbai,Grace Capital Ventures,Seed Funding,0.0
2016-06-12,THB,Technology,Clinical research and data analytics,Gurgaon,"Ajith Sukumaran, Currae Healthtech Fund",Seed Funding,0.0
2016-07-12,LookAtMe,Consumer Internet,Mobile App based Fashion Network,Singapore,Eros Labs,Seed Funding,0.0
2016-07-12,Netree,eCommerce,Mobile-only Retailers Engagement Solution,New Delhi,"The Chennai Angels, LetsVenture",Seed Funding,0.0
2016-07-12,BookEventz,Consumer Internet,"Venue, Events Booking platform",Mumbai,Investors from Mumbai Angels & LetsVenture,Seed Funding,0.0
2016-07-12,Tailslife,Consumer Internet,Pet Parenting mobile app,Bangalore,"Mohan Kumar, V. Balakrishnan",Seed Funding,0.0
2016-07-12,Vehico,Technology,Connected Transportation solutions,Bangalore,"Calcutta Angel Network, Appliyifi",Seed Funding,0.0
2016-09-12,Nykaa,eCommerce,Beauty Products etailer,Mumbai,Max Ventures and Industries,Private Equity,0.0
2016-12-12,UrbanPiper,Consumer Internet,Self-Branded Websites & Apps for Ecommerce,Bangalore,"Axilor, undisclosed investors",Seed Funding,0.0
2016-12-13,GoComet,Logistics,Marketplace for International Freight,Mumbai,"India Quotient, Rajul Garg, Rajesh Yabaji, Chanakya Hridaya, Ramasubramaniam B, Vishwanathan, Nobel House, Sunstone Capital",Seed Funding,0.0
2016-12-14,Fitmein,Consumer Internet,Fitness Discovery & Booking platform,New Delhi,"FiNC, GHV",Seed Funding,0.0
2016-12-14,MoEngage,Technology,User analytics and engagement platform,Bangalore,Anand Chandrasekaran,Seed Funding,0.0
2016-12-14,Ten3t Health,Technology,medical grade wearable patch maker,Bangalore,"V. Krishna Prasad, Bhupen Shah & Others",Seed Funding,0.0
2016-12-19,Events High,Consumer Internet,Events & Activities Marketplace,Bangalore,Axilor Ventures,Private Equity,0.0
2016-12-20,Tiyo,Consumer Internet,Doctor Search Mobile App,Kolkata,Ajith Nair,Seed Funding,0.0
2016-12-20,Zoomcar,Consumer Internet,Self-Driven Cab booking platform,Bangalore,Cyber Carrier CL,Private Equity,0.0
2016-12-21,Supr Daily,Consumer Internet,Daily Subscription based Delivery service,Mumbai,"Dr. Apoorv Ranjan Sharma, Anil Jain, Anuj Golecha, Krishna Jhunjhunwala, Anirudh Damani",Seed Funding,0.0
2016-12-21,MamaEarth,eCommerce,Babycare Products seller,New Delhi,Fireside Ventures & Others,Seed Funding,0.0
2016-12-22,Innoplexus,Technology,Data as a Service Provider,Pune,HCS Venture capital fund,Private Equity,0.0
2016-12-23,ShopKirana,eCommerce,B2B platform for Merchants & Retailers,Indore,"Incubate Fund, Lead Angels Group & Others",Private Equity,0.0
2016-12-23,MyAdvo,Consumer Internet,Legal Advice Platform,New Delhi,"Pradyumna Dalmia, S. Somasegar & Others",Seed Funding,0.0
2016-12-23,Asocon,Technology,Process management startup,Noida,Quarizon,Seed Funding,0.0
2016-12-23,LexComply,Consumer Internet,Compliance Management Software,New Delhi,Ajay Relan,Seed Funding,0.0
2016-12-26,The Postbox,eCommerce,Art & Lifestyle ECommerce Store,Chennai,"The Chennai Angels, Ritesh Mehta, Aruna Ganesh Ram",Seed Funding,0.0
2016-12-26,Pandorum Technologies,Technology,3D printed experimental Human Liver tissue creator,Bangalore,"Sachin Bansal, Binny Bansal",Seed Funding,0.0
2016-12-28,BookEventz,Consumer Internet,Online event-booking platform,Mumbai,"Lead Angels, Mumbai Angels, LetsVenture, Girish Mathrubootham, Anbu Pandian",Seed Funding,0.0
2016-12-29,LetsMD,Consumer Internet,Healthcare plan comparison platform,New Delhi,"WaterBridge Ventures,",Seed Funding,0.0
2016-12-29,Justbooks,Consumer Internet,Library Chain Aggregator,Bangalore,CoCreate Ventures,Seed Funding,0.0
2016-12-30,InstantPay,Consumer Internet,Digital payments & recharge platform,New Delhi,"RB Investments,\\xc2\\xa0 Kaleden Holdings",Private Equity,0.0
2016-02-11,LetsMD,Consumer Internet,Healthcare Services Comparison Platform,New Delhi,"Calcutta Angels Network, LetsVenture, Anupam Mittal, Currae Healthtech Fund",Seed Funding,0.0
2016-02-11,Sattviko,Food & Beverage,Health Food Restaurant Chain,New Delhi,"Raman Roy, Ashish Gupta, Yogesh Andlay, Vaibhav Jain",Seed Funding,0.0
2016-03-11,DoSelect,Consumer Internet,Skill Showcasing platform,Bangalore,"3one4 Capital, Mumbai Angels, Aarin Capital",Seed Funding,0.0
2016-04-11,Browntape,Technology,cloud-based software solutions company,Goa,Gati Ltd,Private Equity,0.0
2016-04-11,vImmune,Consumer Internet,Immunisation Management Platform,Bangalore,Undisclosed investor,Seed Funding,0.0
2016-04-11,The Gourmet Jar,eCommerce,Gourmet Food etailer,Noida,Chandigarh Angels Network,Seed Funding,0.0
2016-10-11,Yottaasys,Technology,Data Sciences platform,Bangalore,Gleevoaz Ventures,Private Equity,0.0
2016-10-11,Tone Tag,Technology,Contactless Payment Solution,Bangalore,"Arun Seth, T.V. Mohandas Pai, Anand Chandrasekaran, Deepak Ghaisas",Private Equity,0.0
2016-11-11,Life in Control,Consumer Internet,Online Diabetes Management platform,Gurgaon,RoundGlass Partners,Private Equity,0.0
2016-11-15,NoBroker,Consumer Internet,Online Rental discovery,Bangalore,Vijay Shekhar Sharma,Seed Funding,0.0
2016-11-17,Scienaptic,Technology,Data Analytics platform,Bangalore,Pramod Bhasin,Seed Funding,0.0
2016-11-17,Lawrato,Consumer Internet,Free Legal Advice,New Delhi,Indian Angel Network,Seed Funding,0.0
2016-11-17,Trip Tap Toe,Consumer Internet,Online Travel Portal,Gurgaon,R.S Sharma,Seed Funding,0.0
2016-11-18,AerMed,eCommerce,Online Pharmacy,Mumbai,Hitesh Windlass,Seed Funding,0.0
2016-11-18,WorkIndia,Consumer Internet,Job Board for Clue Collar Jobs,Mumbai,Asuka Holdings,Seed Funding,0.0
2016-11-22,VoLT,Consumer Internet,Ed-Tech Platform,Mumbai,YMS Mobitech,Seed Funding,0.0
2016-11-22,ShubhLoans,Technology,Consumer Finance & Credit Score platform,Bangalore,"Sanjai Vohra, V. Bunty Bohra",Seed Funding,0.0
2016-11-24,FroyoFit,Consumer Internet,Fitness Discovery Platform,Indore,Dr. Pooja Gandhi,Seed Funding,0.0
2016-11-24,Betterplace,Consumer Internet,Background Verification Services,Bangalore,Venture Highway,Seed Funding,0.0
2016-11-24,UClean,Consumer Internet,Tech Enabled Laundry Service Provider,Gurgaon,Franchise India,Private Equity,0.0
2016-11-24,Servify,Consumer Internet,Personal Device Assistant App,Mumbai,"Blume Ventures, BEENEXT, Barkawi Holdings GmbH, TM Service Technology Holdings Gmbh, Sreevathsa Prabhakar",Private Equity,0.0
2016-11-25,Hubilo,Consumer Internet,End-to-end Event Organizers Solutions,Ahmedabad,"Girish Mathrubootham, VC Karthic, Miten Mehta, Umasankar Nistala, Rakesh Patel, Akash Bhavsar, Jeevanandhan Rajagopal, Vikas Chadha & Others",Seed Funding,0.0
2016-11-25,FunOnGo,Consumer Internet,Digital Media Content and Distribution platform,Mumbai,Reliance Entertainment,Private Equity,0.0
2016-11-25,121Policy,Consumer Internet,Online Insurance Platform,Kolkata,Xelpmoc,Seed Funding,0.0
2016-11-26,TapChief,Consumer Internet,Professional Expert Advice Platform,Bangalore,"Paytm, Aprameya Radhakrishna, Subramanya Venkat, Venk Krishnan",Seed Funding,0.0
2016-11-29,Crossahead,Consumer Internet,Creative Artists Discovery & Booking platform,Noida,Mohit Sharma,Seed Funding,0.0
2016-11-30,MonkeyBox,Consumer Internet,Healthy Food Delivery platform,Bangalore,Blume Ventures & Others,Seed Funding,0.0
2016-03-10,MeraKisan,eCommerce,Fruit & vegetable eTailer,Bangalore,Mahindra Univeg,Seed Funding,0.0
2016-03-10,HelpChat,Consumer Internet,AI Powered Content & Commerce platform,Bangalore,"American Express Ventures, Sequoia Capital",Private Equity,0.0
2016-04-10,Bharat Bazaar,eCommerce,Online B2B Marketplace,Mumbai,"BeeNext, TV Mohandas Pai, Kunal Shah, Sandeep Tandon",Seed Funding,0.0
2016-04-10,GOQii,Consumer Internet,Health & Fitness Wearable Device,Mumbai,Ratan Tata,Private Equity,0.0
2016-04-10,Scandid,Consumer Internet,Product Shopping Comparison App,Pune,3One4 Capital,Private Equity,0.0
2016-05-10,MuhurtMaza,Consumer Internet,Online Puja Booking Service,Pune,Undisclosed Investor,Seed Funding,0.0
2016-05-10,Azuro,Consumer Internet,Rental Property Finder platform,Mumbai,"White Unicorn Ventures, Kae Capital, Mumbai Angels",Private Equity,0.0
2016-05-10,NeuroSynaptic,Technology,Remote Healthcare Delivery Solutions,Bangalore,"Indian Angel Network, Healthsquad, Axilor Ventures",Private Equity,0.0
2016-06-10,FindmeaShoe,Consumer Internet,Footwear Recommendation App,Bangalore,Ventureast Fund Advisors,Seed Funding,0.0
2016-06-10,Sportido,Consumer Internet,Sports Discovery platform,Noida,Sumpoorna Group,Seed Funding,0.0
2016-07-10,Sibia Analytics,Technology,Marketing & Customer Analytics Solutions,Kolkata,Radhakrishnan Natarajan & Others,Seed Funding,0.0
2016-12-10,ZipLoan,Consumer Internet,online lending platform,New Delhi,"GrowX Ventures, Sunil Kalra, Arun Venkatachalam,\\xc2\\xa0 Badal Malick",Seed Funding,0.0
2016-10-13,Shoekonnect,eCommerce,B2B Marketplace for Shoes,Agra,Indian Angel Network,Seed Funding,0.0
2016-10-13,Maya,Consumer Internet,Womens Health Tracker App,Bangalore,Rajan Anandan,Seed Funding,0.0
2016-10-14,BeatRoute,Technology,SAAS based mobile application platform,Gurgaon,Quarizon Consultancy Services LLP,Seed Funding,0.0
2016-10-14,Kidsstoppress,Consumer Internet,Parenting and Baby care Platform,Mumbai,Karan Bhagat,Seed Funding,0.0
2016-10-14,Innov8,Consumer Internet,Co-Working Spaces aggregator,Bangalore,Punit Soni,Seed Funding,0.0
2016-10-17,Trilyo,Technology,B2B SAAS based product,Bangalore,"Vishnu Bhat, Rajiv Lunkad, Naresh Ravindranath",Seed Funding,0.0
2016-10-17,Rooter,Consumer Internet,Sports Social Network mobile app,New Delhi,"Boman Irani, Dhruv Chitgopekar, Prantik Dasgupta",Seed Funding,0.0
2016-10-18,BabyChakra,Consumer Internet,Parenting and Child Care portal,Mumbai,RoundGlass Partners,Private Equity,0.0
2016-10-18,Coppre,eCommerce,Copper based items etailer,Pune,Ganesh Natarajan,Seed Funding,0.0
2016-10-18,ePathsala,Technology,Cloud based ERP for Accreditation & ICT,Bangalore,"Hyderabad Angels, TLabs",Seed Funding,0.0
2016-10-20,Stayology,Consumer Internet,Stay & Travel related services,Bangalore,Ranjan Pai,Seed Funding,0.0
2016-10-20,Hipcask,Consumer Internet,Alcoholic beverage discovery platform,Mumbai,Mobikon,Seed Funding,0.0
2016-10-20,RailYatri,Consumer Internet,Train Travel Info mobile app,Noida,"Helion Ventures, Blume ventures",Private Equity,0.0
2016-10-23,WOTU,eCommerce,B2B Marketplace for traders,Bangalore,KAE capital,Seed Funding,0.0
2016-10-25,Pickrr,Technology,Courier Logistics & Order management Solutions,New Delhi,Swastika Company Ltd,Seed Funding,0.0
2016-10-25,SatvaKart,eCommerce,Online Grocery Etailer,Gurgaon,Nimit Panigrahi,Seed Funding,0.0
2016-10-26,Wooplr,Consumer Internet,Fashion Discovery App,Bangalore,"Astarc Ventures, Anand Chandrasekaran",Seed Funding,0.0
2016-10-28,Pikkol,Logistics,Relocation Service provider,Bangalore,"Ajay Nanavati, Afsal Salu",Seed Funding,0.0
2016-01-09,Mad Street Den,Technology,Artificial Intelligence platform,Chennai,"Sequoia India, Exfinity Ventures, growX ventures,",Private Equity,0.0
2016-01-09,Renowala,eCommerce,Home Improvement Marketplace,Hyderabad,Pradeep Dhobale,Seed Funding,0.0
2016-01-09,Lucideus,Technology,IT Risk Assessment and Digital Security Services provider.,New Delhi,Amit Choudhary,Seed Funding,0.0
2016-04-09,Trackbizz,Technology,Field Force Automation System,Kochi,Grasshoppers,Private Equity,0.0
2016-05-09,Social Quotient,Technology,Platform for Social Causes,Mumbai,"Anita Dongre, Yash Dongre, Milind Sarwate",Seed Funding,0.0
2016-05-09,Stalk Buy Love,eCommerce,Fashion Apparel eTailer,New Delhi,William Bissel,Seed Funding,0.0
2016-06-09,Lenskart,eCommerce,Online Eyewear eTailer,New Delhi,PremjiInvest,Private Equity,0.0
2016-09-09,NoBroker,Consumer Internet,Online Home Rental platform,Bangalore,Anand Chandrasekaran,Seed Funding,0.0
2016-10-09,Freshboxx,eCommerce,Fruits & vegetable eTailer,Hubli,Ravi Linganuri,Seed Funding,0.0
2016-10-09,KarmaCircles,Consumer Internet,Peer-to-peer Social Learning platform,New Delhi,"Harinder Takhar, Zain Raj, Dr. Prasad Kaipa, Abaran Deep, Aseem Sood, Mustafa Patni",Seed Funding,0.0
2016-09-13,Findow,Consumer Internet,Fashion Discovery Mobile app,Bangalore,Raj Singh Bhandal,Seed Funding,0.0
2016-09-13,IdeaChakki,Consumer Internet,Restaurant Menu & Food mobile app,Delhi,Ratan Tata,Seed Funding,0.0
2016-09-13,ShoeKonnect,eCommerce,Footwear & Leather B2B App,Agra,Indian Angels Network,Seed Funding,0.0
2016-09-14,ZeroInfy,Consumer Internet,Online Video Lectures platform,Kolkata,Calcutta Angels Network,Seed Funding,0.0
2016-09-14,LensPick,eCommerce,eyewear eTailer,Bangalore,Scadea Solutions Inc,Private Equity,0.0
2016-09-19,Liqvid,Technology,Integrated eLearning content solutions,New Delhi,Gray Matters Capital,Private Equity,0.0
2016-09-20,Codemojo,Consumer Internet,Customer Engagement Platform,Bangalore,CIO Angel Network,Seed Funding,0.0
2016-09-20,JoeHukum,Technology,Enterprise customer engagement solutions,New Delhi,Sumit Jain,Seed Funding,0.0
2016-09-21,PurpleDocs,Consumer Internet,Electronic Health care records platform,Vadodara,"KellyGamma, Lead Angels & Others",Seed Funding,0.0
2016-09-22,DailyRounds,Consumer Internet,Mobile App for Doctors,Bangalore,"Accel Partners, Beenext, Powerhouse Ventures, Akusa Holdings",Private Equity,0.0
2016-09-23,Parentlane,Consumer Internet,Social Platform for babycare and parenting,Bangalore,Rohit MA,Seed Funding,0.0
2016-09-23,First Moms Club,Consumer Internet,Social Network for Mothers,Mumbai,Idea Wave Labs,Seed Funding,0.0
2016-09-23,inMotion,Technology,Financial platform for daily wage earning communities,Noida,"Prashant Tandon, Gaurav Agarwal, Gaurav Bhogle, Shrishti Sahu, Shantanu Mathur, Prabhat Aggarwal",Seed Funding,0.0
2016-09-26,Let\xe2\x80\x99s Barter,Consumer Internet,Goods & Services Barter Platform,New Delhi,Scale Ventures Funds,Seed Funding,0.0
2016-09-26,EvenGini,Consumer Internet,Event Registration and Ticketing platform,Chennai,Procam International Pvt. Ltd,Private Equity,0.0
2016-09-27,Canvs,Consumer Internet,Community Platform for Artists and Designers,Mumbai,Pratik Seal,Seed Funding,0.0
2016-09-29,Fastudent,eCommerce,Education eCommerce platform,Noida,"Kanwaljit Singh, Ajay Lakhotia, Pavan Ongole, Ashish Gupta",Seed Funding,0.0
2016-09-30,Demyto,Consumer Internet,Vehicle maintenance Services platform,Pune,Deepak Nathani,Seed Funding,0.0
2016-09-30,Kalaage,Consumer Internet,Social Networking Platform for Writers,Jaipur,Rajasthan Angel Innovators Network,Seed Funding,0.0
2016-02-08,Daily Ninja,Consumer Internet,Hyperlocal daily needs Products delivery platform,Bangalore,"Venk Krishnan, Aprameya Radhakrishna, Anupam Mittal, Kunal Shah, Tracxn Labs, Subramanya SV, Ravi Garkipati",Seed Funding,0.0
2016-03-08,Xcode,Healthcare,Personal Genomics,Chennai,RoundGlass Partners,Private Equity,0.0
2016-04-08,lehlehsports,Others,Sports Arena discovery,New Delhi,Anglian Omega Network,Seed Funding,0.0
2016-05-08,Tricog,Healthcare,Healthcare Analytics Platform,Bangalore,"Inventus Capital Partners, Blume Ventures & Others",Private Equity,0.0
2016-08-08,AdPushUp,Technology,Ad optimization Platform,New Delhi,"Geniee, Inc, Purvi Capital",Private Equity,0.0
2016-09-08,MobiDent,Healthcare,Dental Protection Solution,Bangalore,Centre for Innovation Incubation and Entrepreneurship (CIIE),Seed Funding,0.0
2016-09-08,Zeolr/RespirON,Technology,Healthcare related IoT platform,New Delhi,Centre for Innovation Incubation and Entrepreneurship (CIIE),Seed Funding,0.0
2016-11-08,91SpringBoard,Consumer Internet,Co-Working Spaces Discovery & Booking platform,Mumbai,"Khattar Holdings, ThirtyThree Investments, Soumitra Sharma, Deepak Sharma, Sumit Dayal and others",Private Equity,0.0
